

line_item_id,transaction_id,product_id,promotion_id,quantity,line_item_amount
69,T000024,P0020,NA,3,1513.35 INR
70,T000024,P0001,0,3,"5,110.65"
71, T000024 ,P0029,NA,1,INR 910.70
72,T000024,P0028,0,1,1372.73
73,T000025,P9999,PR001,2,221.38 INR
74,T000025,P0015,NA,4,4421.08 INR
75,T000025,P0024,,3,4124.22
76,T000025,P0006,0,4,"₹8,130.08"
77,T000026,P0003,0,04,"₹1,455.24"
78,T000026,P0002,NULL,4,"₹2,096.84"
79,T000027, P0029 ,NA,3,"2,732.10"
80,T000027,P0012,0,1.0,₹110.69
81,T000027,p0025,PR001,01,301.41 INR
82,T000028, P0010 ,NULL,4,"₹18,441.64"
83,T000028,P0009,0,1,262.32
84,T000028,P0010,0,2,9220.82
85,T000029,P0006,NA,3,6097.56
86,T000029,P0015,NA,4,4421.08 INR
87, T000030 ,P0020,NA,4,"₹2,017.80"
88, T000031 ,P0019,NA,4,"INR 8,904.48"
89,T000031,P0004,0,3,"₹6,830.07"
90,T000031,P0024,PR002,3,"INR 4,124.22"
91,T000031,p0005,NULL,2,2755.18
92,T000031,p0013,NULL,4.0,"₹13,494.40"
93,T000032,P0014,PR002,2,2077.38
94,T000032, P0019 ,NULL,2.0,"INR 4,452.24"
95,T000032,p0005,PR001,4,5510.36
96,T000033,P0009,0,1,INR 262.32
97,T000033,p0018,0,3,679.86 INR
98,T000034,P0024,NULL,2,2749.48 INR
99,T000034,P0019,0,2,4452.24
100,T000035,P0030,NA,1,"₹2,106.03"
101,T000036,p0008,0,4,"₹3,396.64"
102,T000036,P0010,NA,3,13831.23 INR
103,T000037,p0022,NULL,3,"₹1,289.94"
104,T000037,P0005,NULL,4,"₹5,510.36"
105,T000037,P0018,0,2,453.24
106,T000037,P0006,NULL,2,4065.04
107,T000038,P0015,0,4,"INR 4,421.08"
108, T000039 , P0008 ,NA,2,"INR 1,698.32"
109,T000039,P0009,0,2,INR 524.64
110,T000039,p0008,0,4,"3,396.64"
111,T000040,P0014,PR001,3,3116.07 INR
112,T000041, P0025 ,,4,"INR 1,205.64"
113,T000041,P0022,NULL,3,"1,289.94"
114,T000041, P0026 ,,01,388.85
115,T000041,P0004,PR002,3,"₹6,830.07"
116,T000042,P0012,,2,221.38 INR
117,T000042,P0014,,2,"₹2,077.38"
118,T000042,P0012,0,2,INR 221.38
119,T000043,P0012,,4,INR 442.76
120,T000043,P0008,0,4,"INR 3,396.64"
121,T000043, P0018 ,,1,INR 226.62
122,T000044, P0005 ,0,4,5510.36 INR
123,T000044,p0018,NULL,3,679.86
124, T000045 ,P0008,NA,03,"2,547.48"
125,T000046,p0008,,3,"2,547.48"
126,T000046,P0004,PR002,04,"9,106.76"
127, T000047 ,P0024,NA,4,"5,498.96"
128,T000047,P0003,,3.0,1091.43
129,T000047,P0023,PR001,3,"1,240.77"
130,T000048, P0019 ,PR001,2,4452.24 INR
131,T000048,P0002,NA,1,524.21
132,T000048, P0005 ,0,3,"₹4,132.77"
133,T000048, P0024 ,0,2,"2,749.48"
134, T000049 , P0017 ,NA,3,"7,345.20"
135,T000049,P0015,NA,2.0,"INR 2,210.54"
136,T000049,P0019,NA,2,"INR 4,452.24"
137,T000049,P0009,0,1,₹262.32
138,T000049,P0028,NA,2,"2,745.46"
139,T000050,P0025,NULL,2,602.82
140,T000050,P0010,NA,1,4610.41
141,T000050,P0008,NULL,1,₹849.16
142,T000050, P0003 ,NULL,1,363.81
143,T000050, P0012 ,,01,110.69
144,T000051, P0006 ,NULL,2,"₹4,065.04"
145,T000052,p0019,,03,6678.36
146,T000052,P0007,NA,4,3610.60 INR
147,T000052,P0010,PR001,3,"INR 13,831.23"
148,T000052, P0028 ,0,01,1372.73 INR
149,T000052,P0018,,2,453.24
150,T000053,P0020,NULL,02,1008.90 INR
151,T000053, P0007 ,PR001,2,1805.30 INR
152,T000053,P0001,0,2,"3,407.10"
153,T000053,P0020,,4,"INR 2,017.80"
154,T000054,P0029,0,1,INR 910.70
155,T000054, P0019 ,pr001,3,6678.36 INR
156,T000054,,NULL,4,3610.60
157,T000054,P0028,,1,"INR 1,372.73"
158,T000054,P0005,,3,"INR 4,132.77"
159,T000055,P0006,pr001,1,"-INR 2,032.52"
160,T000055, P0007 ,NA,3,"2,707.95"
161,T000055,P0017,NULL,1,"INR 2,448.40"
162,T000055,P0018,NA,1,INR 226.62
163, T000056 , P0027 ,NA,02,"INR 2,672.12"
164,T000056,P0008,0,1.0,₹849.16
165,T000057,P0023,,4,"1,654.36"
166,T000057,P0018,,03,₹679.86
167,T000057,P0021,PR001,1,361.08
168,T000057,P0008,0,2,"1,698.32"
169,T000058,P0027,0,3,4008.18
170,T000059,P0012,,2,₹221.38
171,T000059,p0011,NULL,3,"₹11,259.03"
172,T000059,p0027,PR002,3,"INR 4,008.18"
173,T000060,p0028,0,4,5490.92 INR
174,T000060, P0026 ,NULL,1,INR 388.85
175,T000060, P0007 ,NA,1,₹902.65
176,T000061,P0026,NA,2,777.70
177,T000061,P0016,PR002,2,"INR 2,696.50"
178,T000061,P0023,0,2,₹827.18
179,T000061,P0028,,3,"INR 4,118.19"
180,T000061, P0022 ,NA,1,INR 429.98
181,T000062,P0003,NULL,2,INR 727.62
182,T000062,P0013,NA,02,6747.20
183,T000062,P0022,NA,3,1289.94
184,T000062, P0020 ,,3,"-INR 1,513.35"
185,T000062,P0011,0,3,11259.03
186,T000063,P0014,pr002,4,4154.76
187,T000063, P0008 ,0,3,"₹2,547.48"
188,T000064,P0004,NA,4,"₹9,106.76"
189,T000064,P0021,NA,1,₹361.08
190,T000064,p0005,0,3,"INR 4,132.77"
191,T000064, P0027 ,PR002,01,"1,336.06"
192,T000064,P0005,NULL,3,"INR 4,132.77"
193,T000065,p0023,0,1,413.59
194,T000065, P0027 ,NA,3,"INR 4,008.18"
195,T000065,p0012,NULL,2,221.38
196,T000065,,0,02,"₹6,747.20"
197,T000065,p0025,0,3,904.23
198,T000066,P0013,NULL,4,"13,494.40"
199,T000066,P0022,PR002,1,429.98
200,T000067,P0006,0,1,"INR 2,032.52"
201,T000067,P0009,,2,524.64 INR
202,T000067, P0009 ,0,4,"1,049.28"
203,T000067,P0029,0,3,"2,732.10"
204,T000068, P0002 ,PR002,1,-INR 524.21
205,T000068,P0023,0,1,413.59 INR
206,T000068, P0025 ,NULL,2,602.82 INR
207,T000068,P9999,NA,4,6814.20 INR
208,T000068,P0017,PR001,03,"INR 7,345.20"
209,T000069,P0008,NULL,1,₹849.16
210, T000069 ,p0027,0,2,2672.12
211,T000069,P0012,0,2,221.38
212,T000069,,0,4,"₹8,904.48"
213,T000069,P0023,NULL,3,"1,240.77"
214,T000070,P0025,NULL,4,"INR 1,205.64"
215,T000070, P0024 ,,1,1374.74
216,T000071,P0015,0,4,"₹4,421.08"
217,T000071,P0029,NULL,2,"₹1,821.40"
218,T000071, P0013 ,,1,"₹3,373.60"
219,T000072,P0006,PR001,02,"₹4,065.04"
220,T000072,P0007,NULL,3,2707.95
221,T000073,P0008,0,3.0,"₹2,547.48"
222,T000073,P0020,,4,"₹2,017.80"
223,T000073,P0001,0,4,6814.20 INR
224,T000073,P0021,,2,722.16
225,T000073, P0013 ,,4,13494.40
226,T000074,P0028,,2,"2,745.46"
227,T000075,p0023,NA,01,413.59 INR
228,T000075,P0018,NA,4,INR 906.48
229,T000075, P0010 ,NA,1,"INR 4,610.41"
230,T000075,P0006,NULL,01,2032.52 INR
231,T000075,P0015,NA,1,"INR 1,105.27"
232,T000076,P0016,0,4,"INR 5,393.00"
233,T000076,P0004,,2,4553.38 INR
234,T000076,P0008,NA,2,1698.32
235,T000076,P0011,NULL,04,"₹15,012.04"
236,T000077, P0019 ,0,01,"INR 2,226.12"
237,T000077,P0002,,3,1572.63 INR
238,T000077,P0011,PR002,3,"₹11,259.03"
239,T000077,P0016,0,3,"4,044.75"
240,T000078,P0006,NA,2,4065.04 INR
241,T000078,P0030,NULL,2,4212.06 INR
242,T000078,p0008,NULL,3,"₹2,547.48"
243,T000078,P0016,0,03,4044.75 INR
244,T000078, P0011 ,,4,"₹15,012.04"
245,T000079,P0027,0,02,"2,672.12"
246,T000080,P0004,NULL,2,"4,553.38"
247,T000080,,,3,6097.56 INR
248,T000080,P0015,NA,2,2210.54
249,T000081, P0022 ,,2.0,INR 859.96
250,T000082,p0002,NA,2,1048.42 INR
251,T000082,P0021,PR002,2,₹722.16
252,T000083,P0010,NA,2,9220.82
253,T000083,P0005,,01,"₹1,377.59"
254,T000084,P0003,0,4,"INR 1,455.24"
255,T000084,P0017,NA,04,"₹9,793.60"
256,T000084,P0019,0,01,"2,226.12"
257,T000084,p0011,NULL,1,3753.01 INR
258, T000084 ,p0021,0,02,722.16
259,T000085,P0027,PR001,2,"₹2,672.12"
260,T000085,P0015,NULL,03,"₹3,315.81"
261,T000085,P0030,0,4,8424.12
262,T000085,P0004,,3.0,6830.07 INR
263,T000085,P0015,NULL,4,"4,421.08"
264,T000086,P0022,NA,3,"₹1,289.94"
265,T000086,P0025,,2,INR 602.82
266,T000086,P0028,NA,4,"5,490.92"
267,T000087, P0028 ,PR001,4,"5,490.92"
268,T000087,P9999,0,1,"INR 1,348.25"
269,T000087, P0027 ,NA,2,"₹2,672.12"
270,T000088,P0022,NULL,1,429.98 INR
271,T000088,p0015,pr002,3,"INR 3,315.81"
272,T000088,P0006,NA,2,-4065.04 INR
273,T000088,P0028,NULL,2,2745.46 INR
274,T000089,P0011,,3,11259.03
275,T000090, P0028 ,PR001,03,4118.19
276,T000090, P0017 ,NULL,3,"7,345.20"
277,T000090, P0009 ,0,1,262.32
278,T000091, P0004 ,0,1,"2,276.69"
279,T000091,P0020,0,3,1513.35 INR
280,T000092,P0006,NULL,03,6097.56
281,T000092,P0011,NA,4,"INR 15,012.04"
282,T000092,P0028,,1.0,1372.73
283,T000092,P0009,NA,03,786.96
284,T000092,P0012,NULL,4,₹442.76
285,T000093,P0011,,3,"11,259.03"
286,T000093,P0006,,2,4065.04 INR
287,T000093,P0026,PR001,1,388.85 INR
288,T000093, P0014 ,NULL,01,"INR 1,038.69"
289,T000093,P0008,0,01,849.16
290,T000094,P0025,NA,2,₹602.82
291,T000095,P0006,,2,4065.04 INR
292,T000095,P0004,NULL,4,9106.76 INR
293,T000096,P0022,0,4,1719.92 INR
294,T000096,p0003,NA,3,1091.43
295,T000097,P0028,NA,4.0,"5,490.92"
296,T000097,,NA,3,7345.20
297,T000097,P0028,0,01,"1,372.73"
298,T000097, P0015 ,NULL,04,4421.08 INR
299,T000097,P0002,NA,2,"₹1,048.42"
300,T000098,P0020,NULL,4,2017.80 INR
301,T000098,P0030,NULL,3,6318.09
302,T000098,p0030,NA,4,"8,424.12"
303,T000098,,0,3,10120.80
304,T000099,P0027,,2,"₹2,672.12"
305, T000099 , P0017 ,0,2,"INR 4,896.80"
306,T000099,P0016,,1,"₹1,348.25"
307,T000099, P0027 ,,2,"INR 2,672.12"
308,T000099,P0020,0,03,1513.35
309,T000100,P0009,0,1.0,INR 262.32
310,T000101, P0030 ,NA,02,"4,212.06"
311,T000101,P0017,,1,"2,448.40"
312,T000101,P0029,NULL,4,"INR 3,642.80"
313,T000102,P0018,0,4,₹906.48
314,T000102, P0030 ,,01,2106.03
315,T000103,p0018,,2,453.24
316,T000104,P0018,0,2,453.24 INR
317,T000104,P0014,,1,"₹1,038.69"
318,T000104, P0030 ,NULL,3,"₹6,318.09"
319,T000105,P0029,NA,2,"-INR 1,821.40"
320,T000106,P0030,PR002,1,2106.03 INR
321,T000106,P0012,0,3,332.07 INR
322,T000107,P0027,NULL,4,5344.24
323, T000107 ,P0023,NULL,3,1240.77
324,T000107, P0023 ,,1,413.59 INR
325,T000107, P0030 ,0,4,"8,424.12"
326,T000108,P0009,,4,"₹1,049.28"
327,T000108, P0001 ,NULL,1,1703.55
328,T000108,P0016,NULL,3.0,4044.75 INR
329,T000108,P0016,0,1,1348.25
330,T000109,P0002,,4,2096.84
331,T000109, P0024 ,0,1,1374.74
332,T000109, P0023 ,0,4,"INR 1,654.36"
333,T000109,P0023,NA,1,₹413.59
334,T000109,P9999,NA,3,"₹6,678.36"
335,T000110,P0009,PR002,1,₹262.32
336,T000111,p0014,0,2,2077.38 INR
337,T000111,P0028,0,1,"₹1,372.73"
338,T000111,P0024,0,4,5498.96
339,T000111, P0009 ,,2,INR 524.64
340,T000111,P0026,NULL,3,1166.55 INR
341,T000112,P0014,0,3.0,3116.07 INR
342,T000112,P0008,,1,849.16
343,T000113,P0024,,4,"INR 5,498.96"
344,T000113,p0016,0,2,-2696.50
345,T000113,p0005,0,2,2755.18
346,T000113,P0004,NULL,2,"₹4,553.38"
347, T000114 ,P0027,,1,1336.06 INR
348,T000114, P0011 ,NA,2,7506.02
349,T000114,P0025,0,02,INR 602.82
350,T000114,P0023,PR001,2,827.18
351,T000115, P0025 ,,3,904.23
352,T000115, P0017 ,NULL,1,2448.40 INR
353,T000115,P0022,,3,1289.94 INR
354,T000115,p0010,NULL,4,18441.64
355,T000115,P0005,NA,3,"INR 4,132.77"
356,T000116,P0005,NA,4,"5,510.36"
357,T000116,P0004,0,3,6830.07 INR
358,T000117,p0019,NULL,2,4452.24 INR
359,T000117,P0023,NA,4,"1,654.36"
360,T000117,P0018,,1,226.62
361,T000117,P0001,PR002,3,"5,110.65"
362,T000118,P0030,0,3,"6,318.09"
363,T000118,P0021,0,01,361.08 INR
364, T000118 ,P0005,NA,3,"INR 4,132.77"
365,T000118,P0029,pr001,1,910.70
366,T000119,P0003,0,4,"INR 1,455.24"
367,T000119,P0006,PR002,3,"INR 6,097.56"
368,T000119,P0020,,3,"1,513.35"
369,T000119,P0023,NULL,02,827.18
370,T000119,P0026,NA,01,INR 388.85

